1920x1080,#genre#


惊天营救,https://douban.donghongzuida.com/20200424/966_ea00e20d/index.m3u8
惊天营救1,https://hls.aoxtv.com/v3.szjal.cn/20200425/ep7xXV23/index.m3u
半路枪手,https://xigua-cdn.haima-zuida.com/20200302/3988_d0a5e9fc/index.m3u8
腰间持枪,http://cn7.18787000118.com/hls/20200303/5974454e05ee928c3063f24728ae095f/index.m3u8
CTV-1蓝光[1920*1080],http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226226/1.m3u8
CCTV-1蓝光[1920*1080],http://112.50.243.8/PLTV/88888888/224/3221225922/1.m3u8
CCTV-2蓝光[1920*1080],http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226230/1.m3u8
CCTV-2蓝光[1920*1080],http://112.50.243.8/PLTV/88888888/224/3221225923/1.m3u8
CCTV-4蓝光[1920*1080],http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226314/1.m3u8
CCTV-4蓝光[1920*1080],http://112.50.243.8/PLTV/88888888/224/3221225802/1.m3u8
CCTV-5蓝光[1920*1080],http://112.17.40.145/PLTV/88888888/224/3221226687/index.m3u8
CCTV-5+蓝光[1920*1080],http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226225/1.m3u8
CCTV-7蓝光[1920*1080],http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226234/1.m3u8
CCTV-7蓝光[1920*1080],http://112.50.243.8/PLTV/88888888/224/3221225927/1.m3u8
CCTV-9蓝光[1920*1080],http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226236/1.m3u8
CCTV-9蓝光[1920*1080],http://112.50.243.8/PLTV/88888888/224/3221225820/1.m3u8
CCTV-10蓝光[1920*1080],http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226227/1.m3u8
CCTV-11蓝光[1920*1080],http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226315/1.m3u8
CCTV-12蓝光[1920*1080],http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226228/1.m3u8
CCTV-12蓝光[1920*1080],http://112.50.243.8/PLTV/88888888/224/3221225816/1.m3u8
CCTV-14蓝光[1920*1080],http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226229/1.m3u8
CCTV-16 HD[1920*1080],http://ott-live.olympicchannel.com/out/u/OC1_1.m3u8
CCTV-17蓝光[1920*1080],http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226318/1.m3u8
CHC高清电影[1920*1080],http://ivi.bupt.edu.cn/hls/chchd.m3u8
美丽中国4K[1920*1080],https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/9891cea600df4e8a83851b1b1ce23194/8000.m3u8
北京卫视蓝光[1920*1080],http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226224/1.m3u8
天津卫视蓝光[1920*1080],http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226246/1.m3u8
